,Score1,Score2,Reward
701,7.4,3.2,84.0
702,7.0,2.4,92.0
703,6.65,1.8,97.0
704,4.8,2.1,54.0
705,7.6,2.2,108.0
706,6.8,3.2,72.0
707,7.0,2.0,100.0
708,4.75,1.4,67.0
709,7.05,1.9,103.0
710,5.55,2.3,65.0
711,5.55,2.8,55.0
712,6.8,2.3,90.0
713,7.0,2.1,98.0
714,7.0,1.6,108.0
715,4.9,1.4,70.0
716,6.25,2.4,77.0
717,4.8,1.8,60.0
718,7.2,1.4,116.0
719,6.45,2.8,73.0
720,5.35,1.7,73.0
721,6.15,1.7,89.0
722,5.25,1.9,67.0
723,8.0,2.4,112.0
724,4.65,1.6,61.0
725,6.85,2.0,97.0
726,8.2,2.8,108.0
727,5.4,2.3,62.0
728,7.35,1.6,115.0
729,5.95,2.1,77.0
730,5.4,1.8,72.0
731,7.8,1.8,120.0
732,6.15,2.1,81.0
733,5.65,2.2,69.0
734,5.4,1.9,70.0
735,6.35,1.4,99.0
736,7.55,1.4,123.0
737,6.55,1.8,95.0
738,5.1,1.5,72.0
739,7.7,1.7,120.0
740,8.7,1.5,144.0
741,7.05,1.8,105.0
742,6.6,2.3,86.0
743,7.35,1.3,121.0
744,7.9,2.8,102.0
745,4.65,2.0,53.0
746,6.35,2.1,85.0
747,4.75,2.7,41.0
748,6.1,2.7,68.0
749,7.9,1.4,130.0
750,7.15,1.6,111.0
751,6.45,2.4,81.0
752,5.1,2.8,46.0
753,6.85,2.4,89.0
754,5.9,2.7,64.0
755,5.3,1.5,76.0
756,6.9,2.7,84.0
757,4.55,1.0,71.0
758,6.75,2.4,87.0
759,6.4,1.8,92.0
760,6.9,1.3,112.0
761,6.7,1.5,104.0
762,5.2,1.8,68.0
763,5.05,1.6,69.0
764,5.45,2.3,63.0
765,3.9,1.6,46.0
766,6.5,2.2,86.0
767,5.5,3.0,50.0
768,5.15,2.0,63.0
769,8.3,2.3,120.0
770,6.75,1.5,105.0
771,9.3,1.1,164.0
772,6.05,2.7,67.0
773,7.05,1.7,107.0
774,6.95,2.7,85.0
775,6.1,1.3,96.0
776,6.85,1.2,113.0
777,5.35,3.3,41.0
778,7.1,2.2,98.0
779,4.95,3.2,35.0
780,4.4,1.6,56.0
781,6.0,3.1,58.0
782,7.05,1.5,111.0
783,5.1,1.3,76.0
784,7.4,2.1,106.0
785,7.1,1.3,116.0
786,6.5,1.8,94.0
787,5.95,2.3,73.0
788,5.3,2.3,60.0
789,5.75,2.8,59.0
790,4.8,1.4,68.0
791,4.0,1.1,58.0
792,4.4,1.8,52.0
793,6.75,2.0,95.0
794,5.95,2.5,69.0
795,5.25,1.5,75.0
796,4.35,2.0,47.0
797,5.8,2.4,68.0
798,5.55,2.0,71.0
799,4.5,1.8,54.0
800,5.45,2.0,69.0
801,7.2,2.3,98.0
802,5.8,1.4,88.0
803,6.6,1.2,108.0
804,5.6,2.6,60.0
805,5.75,1.4,87.0
806,6.45,1.2,105.0
807,6.5,2.1,88.0
808,10.0,1.5,170.0
809,6.9,2.8,82.0
810,5.5,2.8,54.0
811,5.8,1.4,88.0
812,9.55,1.6,159.0
813,4.1,1.7,48.0
814,4.35,1.9,49.0
815,6.05,1.5,91.0
816,4.4,1.4,60.0
817,7.45,2.6,97.0
818,7.1,1.3,116.0
819,4.65,1.8,57.0
820,6.45,2.0,89.0
821,4.25,1.9,47.0
822,6.2,2.2,80.0
823,7.7,1.6,122.0
824,5.05,1.7,67.0
825,5.7,2.5,64.0
826,5.65,1.1,91.0
827,5.75,1.5,85.0
828,7.5,2.6,98.0
829,5.1,1.0,82.0
830,5.6,1.3,86.0
831,4.4,2.7,34.0
832,7.05,1.1,119.0
833,5.35,2.0,67.0
834,5.6,2.1,70.0
835,7.0,1.1,118.0
836,7.25,2.7,91.0
837,6.65,2.2,89.0
838,5.5,1.7,76.0
