DownAndDistance,Yardline,Expected Points Added (EPA)
1-4,75,1.47621
2-3,84,1.36234
1-2,75,1.88981
2-2,88,1.55296
1-1,75,2.13434
2-1,88,1.98831
3-18,83,0.14083
2-16,75,0.113495
3-11,82,0.29474
3-11,79,0.296832
3-10,84,0.348033
3-10,89,0.295965
3-5,86,1.08146
3-5,81,1.14691
3-4,86,1.31899
3-4,83,1.33733
3-4,85,1.24336
3-1,88,1.85765
1-3,93,1.27492
4-17,87,0.0160364
4-16,85,0.0252345
1-12,77,0.428205
4-15,83,0.153586
4-12,88,0.116583
4-2,92,1.18712
4-11,97,0.0751324
4-9,85,0.238015
4-5,87,1.03141
4-11,98,0.0891508
4-2,83,1.25717
4-11,95,0.0571733
2-11,96,0.235211
4-2,86,1.05971
2-20,82,0.0374384
1-19,74,0.0514087
2-19,78,0.0323311
2-18,80,0.199039
1-17,74,0.1047
2-17,87,0.0444657
2-17,76,0.0599878
1-15,74,0.298851
2-15,85,0.20087
1-13,74,0.432904
2-13,82,0.197999
2-13,85,0.208047
4-15,86,0.145049
1-12,74,0.467921
2-10,90,0.390401
2-9,84,0.532843
2-9,81,0.489172
2-8,84,0.479972
1-7,74,0.957536
2-7,85,0.816806
2-7,82,0.779542
2-7,81,0.762491
1-4,74,1.56018
1-2,74,1.99301
2-2,83,1.65547
2-2,84,1.68703
1-1,74,2.27547
2-1,82,2.03308
3-18,82,0.160588
2-16,74,0.121001
3-16,85,0.0692482
3-13,84,0.129294
3-11,81,0.30145
3-11,84,0.298318
1-3,90,1.35944
4-17,86,0.0168552
1-3,92,1.21148
4-17,84,0.0055567
4-16,86,0.0364962
4-13,84,0.0822974
4-13,85,0.0804207
4-13,83,0.0516264
4-12,91,0.0715016
3-15,54,0.411849
4-7,87,0.428704
4-5,86,1.01627
4-5,81,1.07724
2-16,3,0
4-3,84,0.987331
4-1,87,1.53721
2-20,78,0.0514544
1-19,73,0.0545448
1-9,11,1.09752
2-18,79,0.176262
2-15,81,0.235334
1-13,73,0.307784
2-13,81,0.197757
4-15,87,0.0708751
1-12,73,0.473504
2-7,49,1.37973
2-12,84,0.386475
2-7,57,1.12326
2-12,76,0.411834
2-18,9,0
1-9,73,0.706205
4-10,22,0.774741
1-11,13,1.28173
2-14,22,0.830708
1-8,73,0.691174
4-20,48,0
2-5,83,1.06208
4-20,51,0.00666412
2-5,80,1.16788
1-4,73,1.31196
1-2,73,2.0309
3-3,28,2.25831
3-17,57,0.0820364
3-19,81,0.0154403
3-3,31,2.12338
3-17,56,0.0908569
3-19,86,0.0153953
3-16,82,0.077609
3-16,84,0.0545303
4-7,51,0.737224
3-15,82,0.188772
3-13,85,0.196402
3-14,69,0.196672
2-19,50,0.114525
3-6,82,0.77671
4-16,80,0.0351696
3-12,69,0.411945
4-14,86,0.0527632
3-12,68,0.444841
4-14,87,0.0514283
4-13,82,0.0668802
4-12,90,0.140088
4-12,82,0.230255
4-12,85,0.169489
3-15,50,0.526303
4-7,83,0.395165
4-5,82,1.04597
4-5,83,1.0695
4-1,85,1.61895
1-19,72,0.0575483
1-9,10,1.29738
2-18,78,0.192539
2-14,82,0.207491
2-14,81,0.206697
1-13,72,0.323417
4-15,72,0.149487
1-12,72,0.50907
2-7,63,1.00369
2-12,78,0.41415
2-18,8,0
1-9,72,0.693868
4-10,23,0.86287
1-11,12,1.88733
