DownAndDistance,Yardline,Expected Points Added (EPA)
4-3,76,1.03299
4-1,76,1.47581
2-14,78,0.153822
4-6,50,0.688103
4-14,45,0.0813586
1-20,75,0.0549675
1-19,75,0.056771
2-7,63,0.846961
2-12,78,0.31617
1-13,75,0.245033
4-15,85,0.035861
1-12,75,0.363637
1-9,75,0.487041
2-14,20,0.847994
1-11,15,0.947884
4-10,24,0.635465
1-8,75,0.602703
1-7,75,0.775175
1-4,75,1.2588
1-2,75,1.4692
1-9,11,1.21283
2-18,79,0.139605
1-1,75,1.90818
2-20,75,0.0285323
1-1,79,1.79899
1-9,15,1.20129
2-18,75,0.148145
2-16,75,0.130697
